month,startDate,endDate,chilledWater
11-Jul,6/12/11,7/12/11,2258
11-Aug,7/12/11,8/12/11,2095
11-Sep,8/12/11,9/12/11,2200
11-Oct,9/12/11,10/12/11,1664
11-Nov,10/12/11,11/12/11,447
11-Dec,11/12/11,12/12/11,162
12-Jan,12/12/11,1/12/12,51
12-Feb,1/12/12,2/12/12,57
12-Mar,2/12/12,3/12/12,57
12-Apr,3/12/12,4/12/12,537
12-May,4/12/12,5/12/12,1002
12-Jun,5/12/12,6/12/12,1166
12-Jul,6/12/12,7/12/12,2739
12-Aug,7/12/12,8/12/12,3058
12-Sep,8/12/12,9/12/12,2708
12-Oct,9/12/12,10/12/12,1078
12-Nov,10/12/12,11/12/12,295
12-Dec,11/12/12,12/12/12,110
13-Jan,12/12/12,1/12/13,83
13-Feb,1/12/13,2/12/13,80
13-Mar,2/12/13,3/12/13,76
13-Apr,3/12/13,4/12/13,97
13-May,4/12/13,5/12/13,575
13-Jun,5/12/13,6/12/13,1263
13-Jul,6/12/13,7/12/13,2779
13-Aug,7/12/13,8/12/13,2751
13-Sep,8/12/13,9/12/13,2127
13-Oct,9/12/13,10/12/13,878
13-Nov,10/12/13,11/12/13,316
13-Dec,11/12/13,12/12/13,94
14-Jan,12/12/13,1/12/14,52
14-Feb,1/12/14,2/12/14,68
14-Mar,2/12/14,3/12/14,66
14-Apr,3/12/14,4/12/14,120
14-May,4/12/14,5/12/14,588
14-Jun,5/12/14,6/12/14,977
14-Jul,6/12/14,7/12/14,2372
14-Aug,7/12/14,8/12/14,2422
14-Sep,8/12/14,9/12/14,2325
14-Oct,9/12/14,10/12/14,952
