month,startDate,endDate,steam
Jul 11,6/17/2011,7/21/2011,0.0
Aug 11,7/21/2011,8/20/2011,0.0
Sep 11,8/20/2011,9/17/2011,0.0
Oct 11,9/17/2011,10/20/2011,246.5
Nov 11,10/20/2011,11/20/2011,786.1
Dec 11,11/20/2011,12/16/2011,832.1
Jan 12,12/16/2011,1/20/2012,1262.4
Feb 12,1/20/2012,2/20/2012,1155.8
Mar 12,2/20/2012,3/20/2012,873.9
Apr 12,3/20/2012,4/20/2012,699.7
May 12,4/20/2012,5/20/2012,441.9
Jun 12,5/20/2012,6/20/2012,99.4
Jul 12,6/20/2012,7/20/2012,0.0
Aug 12,7/20/2012,8/20/2012,0.0
Sep 12,8/20/2012,9/20/2012,0.0
Oct 12,9/20/2012,10/20/2012,378.7
Nov 12,10/20/2012,11/20/2012,663.1
Dec 12,11/20/2012,12/17/2012,857.2
Jan 13,12/17/2012,1/20/2013,1282.6
Feb 13,1/20/2013,2/20/2013,1529.2
Mar 13,2/20/2013,3/20/2013,989.3
Apr 13,3/20/2013,4/20/2013,718.1
May 13,4/20/2013,5/20/2013,423.9
Jun 13,5/20/2013,6/20/2013,117.6
Jul 13,6/20/2013,7/20/2013,0.1
Aug 13,7/20/2013,8/20/2013,0.0
Sep 13,8/20/2013,9/20/2013,13.2
Oct 13,9/20/2013,10/20/2013,197.0
Nov 13,10/20/2013,11/20/2013,846.9
Dec 13,11/20/2013,12/18/2013,1377.5
Jan 14,12/18/2013,1/17/2014,1209.0
Feb 14,1/17/2014,2/20/2014,1793.3
Mar 14,2/20/2014,3/20/2014,1250.6
Apr 14,3/20/2014,4/20/2014,893.7
May 14,4/20/2014,5/20/2014,395.1
Jun 14,5/20/2014,6/20/2014,80.3
Jul 14,6/20/2014,7/18/2014,0.0
Aug 14,7/18/2014,8/20/2014,0.0
Sep 14,8/20/2014,9/19/2014,17.3
Oct 14,9/19/2014,10/17/2014,273.7
